Name,ID,Resid,int IParticleId,Headresid,palette,nLevel,type,camp,exp,expcoefficient,prizeholdstrategy,Speed_B,attackspeed,hp,mp,Close_A,Powder_A,Magic_A,Builder_A,Close_D,Powder_D,Magic_D,Builder_D_B,Base_D,近战暴击率,火药暴击率,魔法暴击率,攻城暴击率,近战暴击等级,火药暴击等级,魔法暴击等级,攻城暴击等级,Dead_Def,暴击伤害加成率,hit,dodge,AIid,nBeAttackRadius ,nWinPoint,nWinMorale,nWinMoney,nGetExploit,EXPLOIT,nGetMoney,CanTalk,nCanntDie,lTalkResId,lBuildRadius,int nBornMsgType;,int nDieMsgType;,isBOSS,nNoOccupant,nUpShowResID,FissionMonster,int nShowName,ShowLevel,nOpenSoundID,nCloseSoundID,CanntSelected
名称,怪物ID,怪物图包,粒子ID,头像图片,调色板,等级,"1可攻击NPC
2不可攻击NPC
3建筑
4阵营怪
5野外的怪物
6召唤
7宠物
8生产建筑，不可攻击
9陷阱 ","//0，红色玩家阵营
//1，蓝色玩家阵营
//2，系统阵营",经验值（杀怪后玩家获得的技能熟练度）,经验值修正系数,"奖励策略，扩展用的几种特殊奖励方式
//1 = 最近攻击怪物的玩家拥有奖励
//2 = 第一个攻击者拥有奖励
//3 = 持续攻击者拥有奖励
//4 = 指定奖励拥有者
//5 = 杀死怪物的是玩家，此玩家才能获得奖励
//6 = 对怪物生命总量伤害最高的玩家获得奖励",基本移动速度,攻击速度,基本生命值,基本魔法值,物理攻击,火药攻击,魔法攻击,攻城攻击,物理防御,火药防御,魔法防御,攻城防御,基础防御,nClose_Dead_B,nPowder_Dead_B,nMagic_Dead_B,nBuilder_Dead_B,Close_Dead_L_B,Powder_Dead_L_B,nMagic_Dead_L_B,Builder_Dead_L_B,暴击抵抗,nDead_Add_B,命中,闪避(0 ~ 2000),生物AI,"怪物可被攻击的半径（一般的怪物为0，炮台兵营主城的设为2）
",杀死怪物获得的功勋积分,杀死怪物获得的士气,杀死怪物获得的金钱,野外怪物死亡后玩家获得的功勋,怪物死亡后玩家获得的功勋（玩家处于幸运模式时）,野外怪物死亡后玩家获得的金钱,为1表示可以对话,"//为1表示生命值小于等于0时不死亡
",//NPC对话头像图片资源ID,"//建筑的占位块半径，仅用于建筑，默认为0
   //1个占位块半径为0，9个占位块半径为1，依此类推
",//怪物出生的系统提示类型，,"//怪物死亡的系统提示类型，//个位：0：不提示，1：本地图提示，2：本岛提示（主城等静态地图）
//十位：0：所有阵营，
//例子：12，表示提示本地图的所有联邦玩家1：帝国，2：联邦",是否是boss，0表示不是，1表示是，默认为0,//为1表示生物无占位,NPC默认头顶标志资源ID,怪物是否是玩家分身，1表示是，0表示否，默认为0,"是否显示生物的名称，0表示不显示，1表示显示，默认为0
",是否显示等级名称，1为显示，0为不显示，默认为0,打开对话时播放的声音ID,关闭对话时播放的声音ID,能否选中//默认为0，表示可以选中//填1表示不可以选中
机奴难民(法师专署),612900,11951,,444,,1,4,2,0,0,5,400,1000,356,,50,50,0,,40,40,0,,,,,,,,,,,70,,,,1341,0,0,11,0,0,,0,,,,,,,,,,,,,,,
机奴难民(法师专署),612901,11951,,444,,2,4,2,0,0,5,400,1000,373,,56,56,0,,45,45,0,,,,,,,,,,,70,,,,1341,0,0,11,0,0,,0,,,,,,,,,,,,,,,
机奴难民(法师专署),612902,11951,,444,,3,4,2,0,0,5,400,1000,449,,64,64,0,,55,55,0,,,,,,,,,,,70,,,,1341,0,0,11,0,0,,0,,,,,,,,,,,,,,,
机奴难民(法师专署),612903,11951,,444,,4,4,2,0,0,5,400,1000,639,,90,90,0,,55,55,0,,,,,,,,,,,97,,,,1341,0,0,14,0,0,,0,,,,,,,,,,,,,,,
机奴难民(法师专署),612904,11951,,444,,5,4,2,0,0,5,400,1000,806,,120,120,0,,75,75,0,,,,,,,,,,,97,,,,1341,0,0,14,0,0,,0,,,,,,,,,,,,,,,
机奴难民(法师专署),612905,11951,,444,,6,4,2,0,0,5,400,1000,916,,171,171,0,,90,90,0,,,,,,,,,,,150,,,,1341,0,0,14,0,0,,0,,,,,,,,,,,,,,,
机奴难民(法师专署),612906,11951,,444,,7,4,2,0,0,5,400,1000,1149,,272,272,0,,145,145,0,,,,,,,,,,,150,,,,1341,0,0,17,0,0,,0,,,,,,,,,,,,,,,
机奴难民(法师专署),612907,11951,,444,,8,4,2,0,0,5,400,1000,1181,,286,286,0,,150,150,0,,,,,,,,,,,150,,,,1341,0,0,17,0,0,,0,,,,,,,,,,,,,,,
机奴难民(法师专署),612908,11951,,444,,9,4,2,0,0,5,400,1000,1179,,300,300,0,,160,160,0,,,,,,,,,,,150,,,,1341,0,0,17,0,0,,0,,,,,,,,,,,,,,,
机奴难民(法师专署),612909,11951,,444,,10,4,2,0,0,5,400,1000,1377,,325,325,0,,170,170,0,,,,,,,,,,,176,,,,1341,0,0,17,0,0,,0,,,,,,,,,,,,,,,
机奴难民(法师专署),612910,11951,,444,,11,4,2,0,0,5,400,1000,1512,,350,350,0,,175,175,0,,,,,,,,,,,110,,,,1341,0,0,20,0,0,,0,,,,,,,,,,,,,,,
机奴难民(法师专署),612911,11951,,444,,12,4,2,0,0,5,400,1000,1530,,398,398,0,,185,185,0,,,,,,,,,,,110,,,,1341,0,0,20,0,0,,0,,,,,,,,,,,,,,,
强者之路剑士,612912,11974,,444,,13,4,2,0,0,5,400,1000,1542,,440,440,0,,195,195,0,,,,,,,,,,,110,,,,1341,0,0,20,0,0,,0,,,,,,,,,,,,,,,
强者之路剑士,612913,11974,,444,,14,4,2,0,0,5,400,1000,1683,,476,476,0,,200,200,0,,,,,,,,,,,120,,,,1341,0,0,20,0,0,,0,,,,,,,,,,,,,,,
强者之路剑士,612914,11974,,444,,15,4,2,0,0,5,400,1000,1703,,510,510,0,,210,210,0,,,,,,,,,,,120,,,,1341,0,0,20,0,0,,0,,,,,,,,,,,,,,,
强者之路剑士,612915,11974,,444,,16,4,2,0,0,5,400,1000,2271,,543,543,0,,225,225,0,,,,,,,,,,,147,,,,1341,0,0,22,0,0,,0,,,,,,,,,,,,,,,
强者之路剑士,612916,11974,,444,,17,4,2,0,0,5,400,1000,2364,,554,554,0,,240,240,0,,,,,,,,,,,167,,,,1341,0,0,22,0,0,,0,,,,,,,,,,,,,,,
强者之路剑士,612917,11974,,444,,18,4,2,0,0,5,400,1000,2448,,566,566,0,,255,255,0,,,,,,,,,,,167,,,,1341,0,0,22,0,0,,0,,,,,,,,,,,,,,,
