Name,ID,Resid,int IParticleId,Headresid,palette,nLevel,type,camp,exp,expcoefficient,prizeholdstrategy,Speed_B,attackspeed,hp,mp,Close_A,Powder_A,Magic_A,Builder_A,Close_D,Powder_D,Magic_D,Builder_D_B,Base_D,Ω¸’Ω±©ª˜¬ ,ª“©±©ª˜¬ ,ƒß∑®±©ª˜¬ ,π•≥«±©ª˜¬ ,Ω¸’Ω±©ª˜µ»º∂,ª“©±©ª˜µ»º∂,ƒß∑®±©ª˜µ»º∂,π•≥«±©ª˜µ»º∂,Dead_Def,±©ª˜…À∫¶º”≥…¬ ,hit,dodge,Aiid,nBeAttackRadius ,nWinPoint,nWinMorale,nWinMoney,nGetExploit,EXPLOIT,nGetMoney,CanTalk,nCanntDie,lTalkResId,lBuildRadius,int nBornMsgType;,int nDieMsgType;,isBOSS,nNoOccupant,nUpShowResID,FissionMonster,int nShowName,ShowLevel,nOpenSoundID,nCloseSoundID,CanntSelected
√˚≥∆,π÷ŒÔID,π÷ŒÔÕº∞¸,¡£◊”ID,Õ∑œÒÕº∆¨,µ˜…´∞Â,µ»º∂,"1ø…π•ª˜NPC
2≤ªø…π•ª˜NPC
3Ω®÷˛
4’Û”™π÷
5“∞Õ‚µƒπ÷ŒÔ
6’ŸªΩ
7≥ËŒÔ
8…˙≤˙Ω®÷˛£¨≤ªø…π•ª˜
9œ›⁄Â ","//0£¨∫Ï…´ÕÊº“’Û”™
//1£¨¿∂…´ÕÊº“’Û”™
//2£¨œµÕ≥’Û”™",æ≠—È÷µ£®…±π÷∫ÛÕÊº“ªÒµ√µƒººƒ‹ Ï¡∑∂»£©,æ≠—È÷µ–ﬁ’˝œµ ˝,"Ω±¿¯≤ﬂ¬‘£¨¿©’π”√µƒº∏÷÷Ãÿ ‚Ω±¿¯∑Ω Ω
//1 = ◊ÓΩ¸π•ª˜π÷ŒÔµƒÕÊº“”µ”–Ω±¿¯
//2 = µ⁄“ª∏ˆπ•ª˜’ﬂ”µ”–Ω±¿¯
//3 = ≥÷–¯π•ª˜’ﬂ”µ”–Ω±¿¯
//4 = ÷∏∂®Ω±¿¯”µ”–’ﬂ
//5 = …±À¿π÷ŒÔµƒ «ÕÊº“£¨¥ÀÕÊº“≤≈ƒ‹ªÒµ√Ω±¿¯
//6 = ∂‘π÷ŒÔ…˙√¸◊‹¡ø…À∫¶◊Ó∏ﬂµƒÕÊº“ªÒµ√Ω±¿¯",ª˘±æ“∆∂ØÀŸ∂»,π•ª˜ÀŸ∂»,ª˘±æ…˙√¸÷µ,ª˘±æƒß∑®÷µ,ŒÔ¿Ìπ•ª˜,ª“©π•ª˜,ƒß∑®π•ª˜,π•≥«π•ª˜,ŒÔ¿Ì∑¿”˘,ª“©∑¿”˘,ƒß∑®∑¿”˘,π•≥«∑¿”˘,ª˘¥°∑¿”˘,nClose_Dead_B,nPowder_Dead_B,nMagic_Dead_B,nBuilder_Dead_B,Close_Dead_L_B,Powder_Dead_L_B,nMagic_Dead_L_B,Builder_Dead_L_B,±©ª˜µ÷øπ,nDead_Add_B,√¸÷–,…¡±‹(0 ~ 2000),…˙ŒÔAI,"π÷ŒÔø…±ªπ•ª˜µƒ∞Îæ∂£®“ª∞„µƒπ÷ŒÔŒ™0£¨≈⁄Ã®±¯”™÷˜≥«µƒ…ËŒ™2£©
",…±À¿π÷ŒÔªÒµ√µƒπ¶—´ª˝∑÷,…±À¿π÷ŒÔªÒµ√µƒ ø∆¯,…±À¿π÷ŒÔªÒµ√µƒΩ«Æ,“∞Õ‚π÷ŒÔÀ¿Õˆ∫ÛÕÊº“ªÒµ√µƒπ¶—´,π÷ŒÔÀ¿Õˆ∫ÛÕÊº“ªÒµ√µƒπ¶—´£®ÕÊº“¥¶”⁄–“‘Àƒ£ Ω ±£©,“∞Õ‚π÷ŒÔÀ¿Õˆ∫ÛÕÊº“ªÒµ√µƒΩ«Æ,Œ™1±Ì æø…“‘∂‘ª∞,"//Œ™1±Ì æ…˙√¸÷µ–°”⁄µ»”⁄0 ±≤ªÀ¿Õˆ
",//NPC∂‘ª∞Õ∑œÒÕº∆¨◊ ‘¥ID,"//Ω®÷˛µƒ’ºŒªøÈ∞Îæ∂£¨Ωˆ”√”⁄Ω®÷˛£¨ƒ¨»œŒ™0
   //1∏ˆ’ºŒªøÈ∞Îæ∂Œ™0£¨9∏ˆ’ºŒªøÈ∞Îæ∂Œ™1£¨“¿¥À¿‡Õ∆
",//π÷ŒÔ≥ˆ…˙µƒœµÕ≥Ã· æ¿‡–Õ£¨,"//π÷ŒÔÀ¿ÕˆµƒœµÕ≥Ã· æ¿‡–Õ£¨//∏ˆŒª£∫0£∫≤ªÃ· æ£¨1£∫±æµÿÕºÃ· æ£¨2£∫±æµ∫Ã· æ£®÷˜≥«µ»æ≤Ã¨µÿÕº£©
// ÆŒª£∫0£∫À˘”–’Û”™£¨
//¿˝◊”£∫12£¨±Ì æÃ· æ±æµÿÕºµƒÀ˘”–¡™∞ÓÕÊº“1£∫µ€π˙£¨2£∫¡™∞Ó", «∑Ò «boss£¨0±Ì æ≤ª «£¨1±Ì æ «£¨ƒ¨»œŒ™0,//Œ™1±Ì æ…˙ŒÔŒﬁ’ºŒª,NPCƒ¨»œÕ∑∂•±Í÷æ◊ ‘¥ID,π÷ŒÔ «∑Ò «ÕÊº“∑÷…Ì£¨1±Ì æ «£¨0±Ì æ∑Ò£¨ƒ¨»œŒ™0," «∑Òœ‘ æ…˙ŒÔµƒ√˚≥∆£¨0±Ì æ≤ªœ‘ æ£¨1±Ì æœ‘ æ£¨ƒ¨»œŒ™0
", «∑Òœ‘ æµ»º∂√˚≥∆£¨1Œ™œ‘ æ£¨0Œ™≤ªœ‘ æ£¨ƒ¨»œŒ™0,¥Úø™∂‘ª∞ ±≤•∑≈µƒ…˘“ÙID,πÿ±’∂‘ª∞ ±≤•∑≈µƒ…˘“ÙID,ƒ‹∑Ò—°÷–//ƒ¨»œŒ™0£¨±Ì æø…“‘—°÷–//ÃÓ1±Ì æ≤ªø…“‘—°÷–
,801001,,,444,,1,5,2,,,5,360,1000,200,,1,,,,0,,,,0,,,,,,,,,70,,1000,,,0,,,,1,3,,,,,,,,,,,,1,1,,,
,801002,,,444,,2,5,2,,,5,360,1000,321,,2,,,,0,,,,0,,,,,,,,,70,,1000,,,0,,,,2,6,,,,,,,,,,,,1,1,,,
∆Ω‘≠Õ≠ø«π÷,801003,15492,,444,,3,5,2,,,5,360,1000,442,,4,,,,0,,,,0,,,,,,,,,70,,1000,,2145,0,,,,3,9,,,,,,,,,,,,1,1,,,
ƒ‡Ω¨π÷,801004,29008,,444,,4,5,2,,,5,360,1000,563,,6,,,,0,,,,0,,,,,,,,,97,,1000,,2287,0,,,,4,12,,,,,,,,,,,,1,1,,,
”◊ƒÍª®ºπ ﬁ,801005,29073,,444,,5,5,2,,,5,360,1000,684,,9,,,,0,,,,0,,,,,,,,,97,,1000,,2305,0,,,,5,15,,,,,,,,,,,,1,1,,,
ª˙≈´÷”¡È,801006,29203,,444,,6,5,2,,,5,360,1000,805,,14,,,,0,,,,0,,,,,,,,,150,,1000,,2281,0,,,,6,18,,,,,,,,,,,,1,1,,,
ªƒÒ’Ï≤Ï±¯,801007,29184,,444,,7,5,2,,,5,360,1000,926,,18,,,,0,,,,0,,,,,,,,,150,,1000,,2293,0,,,,7,21,,,,,,,,,,,,1,1,,,
ªƒÒ’Ï≤Ï±¯,801008,29184,,444,,8,5,2,,,5,360,1000,1047,,23,,,,0,,,,0,,,,,,,,,150,,1000,,2293,0,,,,8,24,,,,,,,,,,,,1,1,,,
˜˙ ÛÃΩÀ˜∂”‘±,801009,3199,,444,,9,5,2,,,5,360,1000,1168,,29,,,,0,,,,0,,,,,,,,,150,,1000,,2305,0,,,,9,27,,,,,,,,,,,,1,1,,,
‡Ω‡Ω ﬁ,801010,29049,,444,,10,5,2,,,5,360,1000,1289,,36,,,,0,,,,0,,,,,,,,,176,,1000,,2305,0,,,,10,30,,,,,,,,,,,,1,1,,,
–°∂Òƒß,801011,29160,,444,,11,4,2,,,5,400,1000,1410,,45,,,,0,,,,0,,,,,,,,,110,,1000,,2306,0,,,,12,36,,,,,,,,,,,,1,1,,,
ªƒÒ’Ï≤Ï±¯Õ∑ƒø,801012,21004,,444,,12,4,2,,,5,400,1000,1531,,56,,,,0,,,,0,,,,,,,,,110,,1000,,2294,0,,,,14,42,,,,,,,,,,,,1,1,,,
ª®ºπ ﬁ,801013,29079,,444,,13,4,2,,,5,400,1000,1652,,64,,,,0,,,,0,,,,,,,,,110,,1000,,2306,0,,,,16,48,,,,,,,,,,,,1,1,,,
ªƒÒÕ®—∂±¯Õ∑ƒø,801014,21004,,444,,14,4,2,,,5,400,1000,1773,,73,,,,0,,,,0,,,,,,,,,120,,1000,,2294,0,,,,18,54,,,,,,,,,,,,1,1,,,
ª®ºπ ﬁ,801015,29079,,444,,15,4,2,,,5,400,1000,1894,,84,,,,0,,,,0,,,,,,,,,120,,1000,,2306,0,,,,20,60,,,,,,,,,,,,1,1,,,
,801016,,,444,,16,4,2,,,5,400,1000,2015,,95,,,,0,,,,5,,,,,,,,,147,,1000,,,0,,,,22,66,,,,,,,,,,,,1,1,,,
≥…ƒÍ¡ÈÃÂ,801017,29067,,444,,17,4,2,,,5,400,1000,2136,,105,,,,0,,,,6,,,,,,,,,167,,1000,,2288,0,,,,24,72,,,,,,,,,,,,1,1,,,
,801018,,,444,,18,4,2,,,5,400,1000,2257,,115,,,,0,,,,7,,,,,,,,,167,,1000,,,0,,,,26,78,,,,,,,,,,,,1,1,,,
,801019,,,444,,19,4,2,,,5,400,1000,2378,,125,,,,0,,,,10,,,,,,,,,167,,1000,,,0,,,,28,84,,,,,,,,,,,,1,1,,,
ÃÏª≥ÕΩ‰’ﬂ,801020,19260,,444,,20,4,2,,,5,400,1000,2499,,135,,,,0,,,,15,,,,,,,,,167,,1000,,2300,0,,,,30,90,,,,,,,,,,,,1,1,,,
±©≈∞ª®Œ≤ ﬁ,801021,28702,,444,,21,4,2,,,5,400,1000,2620,,145,,,,0,,,,17,,,,,,,,,177,,1000,,2312,0,,,,33,99,,,,,,,,,,,,1,1,,,
±©≈∞ª®Œ≤ ﬁ,801022,28702,,444,,22,4,2,,,5,400,1000,2741,,157,,,,0,,,,21,,,,,,,,,177,,1000,,2312,0,,,,36,108,,,,,,,,,,,,1,1,,,
ÃÏªªŸ√’ﬂ,801023,3175,,444,,23,4,2,,,5,400,1000,2862,,168,,,,0,,,,23,,,,,,,,,177,,1000,,2300,0,,,,39,117,,,,,,,,,,,,1,1,,,
±©≈∞ª®Œ≤ ﬁ,801024,28702,,444,,24,4,2,,,5,400,1000,2983,,179,,,,0,,,,30,,,,,,,,,177,,1000,,2312,0,,,,42,126,,,,,,,,,,,,1,1,,,
ÃÏªªŸ√’ﬂ,801025,3175,,444,,25,4,2,,,5,400,1000,3100,,195,,,,0,,,,39,,,,,,,,,177,,1000,,2300,0,,,,45,135,,,,,,,,,,,,1,1,,,
√‘ŒÌ≤ µ˚,801026,16543,,444,,26,4,2,,,5,400,1000,3233,,205,,,,0,,,,45,,,,,,,,,118,,1000,,2307,0,,,,66,198,,,,,,,,,,,,1,1,,,
≥§…‡ª®ºπ ﬁ,801027,12107,,444,,27,4,2,,,5,400,1000,3304,,215,,,,0,,,,56,,,,,,,,,118,,1000,,2307,0,,,,71,212,,,,,,,,,,,,1,1,,,
,801028,,,444,,28,4,2,,,5,400,1000,3376,,226,,,,0,,,,64,,,,,,,,,118,,1000,,,0,,,,75,225,,,,,,,,,,,,1,1,,,
,801029,,,444,,29,4,2,,,5,400,1000,3447,,237,,,,0,,,,73,,,,,,,,,128,,1000,,,0,,,,80,238,,,,,,,,,,,,1,1,,,
ƒ¢πΩ±¯,801030,2709,,444,,30,4,2,,,5,400,1000,3556,,249,,,,0,,,,84,,,,,,,,,128,,1000,,2277,0,,,,84,251,,,,,,,,,,,,1,1,,,
˜˙ Û–ﬁ¿Ìπ§,801031,29130,,444,,31,4,2,,,5,400,1000,3690,,261,,,,0,,,,95,,,,,,,,,154,,1000,,2307,0,,,,96,288,,,,,,,,,,,,1,1,,,
∫⁄“¬µ¡‘Ù,801032,20244,,444,,32,4,2,,,5,400,1000,3800,,275,,,,0,,,,105,,,,,,,,,174,,1000,,2147,0,,,,101,303,,,,,,,,,,,,1,1,,,
µ¡‘ÙÕ≈¥ÃøÕ,801033,29785,,444,,33,4,2,,,5,400,1000,3920,,286,,,,0,,,,115,,,,,,,,,174,,1000,,2147,0,,,,106,317,,,,,,,,,,,,1,1,,,
–‹ ﬁ,801034,21405,,444,,34,4,2,,,5,400,1000,4050,,297,,,,0,,,,125,,,,,,,,,174,,1000,,2307,0,,,,111,332,,,,,,,,,,,,1,1,,,
…ﬂ≈ÆŒ‰ ø,801035,12153,,444,,35,4,2,,,5,400,1000,4200,,374,,,,0,,,,162,,,,,,,,,174,,1000,,2313,0,,,,116,346,,,,,,,,,,,,1,1,,,
≤›‘≠æﬁÚ·,801036,28719,,444,,36,4,2,,,5,400,1000,4320,,388,,,,0,,,,174,,,,,,,,,184,,1000,,2307,0,,,,141,422,,,,,,,,,,,,1,1,,,
∫⁄“¬µ¡‘ÙÕ∑ƒø,801037,29505,,444,,37,4,2,,,5,400,1000,4480,,402,,,,0,,,,188,,,,,,,,,184,,1000,,2295,0,,50,,147,441,,,,,,,,,,,,1,1,,,
–‹ ﬁ,801038,21405,,444,,38,4,2,,,5,400,1000,4620,,415,,,,0,,,,202,,,,,,,,,184,,1000,,2307,0,,,,154,461,,,,,,,,,,,,1,1,,,
Ω⁄≈ƒ∆˜À——∞’ﬂ,801039,11001,,444,,39,4,2,,,5,400,1000,4780,,430,,,,0,,,,215,,,,,,,,,184,,1000,,2295,0,,,,160,480,,,,,,,,,,,,1,1,,,
,801040,,,444,,40,4,2,,,5,400,1000,4900,,444,,,,0,,,,234,,,,,,,,,184,,1000,,,0,,,,167,500,,,,,,,,,,,,1,1,,,
∂ÒƒßΩ¸Œ¿,801041,16659,,444,,41,4,2,,,5,400,1000,5134,,458,,,,55,,,,246,,,,,,,,,184,,1000,,2308,0,,,,186,558,,,,,,,,,,,,1,1,,,
√Œª√÷«ÃÏ π,801042,30431,,444,,42,4,2,,,5,400,1000,5421,,472,,,,56,,,,258,,,,,,,,,184,,1000,,2284,0,,,,194,582,,,,,,,,,,,,1,1,,,
»®ÃÏ π,801043,30431,,444,,43,4,2,,,5,400,1000,5735,,482,,,,57,,,,271,,,,,,,,,184,,1000,,2284,0,,,,202,605,,,,,,,,,,,,1,1,,,
ƒß¡ÈƒæƒÀ“¡,801044,21399,,444,,44,4,2,,,5,400,1000,6075,,494,,,,59,,,,284,,,,,,,,,184,,1000,,2284,0,,,,210,628,,,,,,,,,,,,1,1,,,
