物品ID,名字,描述,物品详细描述(127汉字),物品类型描述,物品栏图片,地上图片,缩小图片,等级,物品分类,物品子类,lBourseClass,生物最多拥有个数,需求爵位,需求状态,死亡掉落几率,获取绑定,装备绑定,销毁标志,出售标志,买入价格,买入购物券,买入士气,点券购买,卖出价格,卖出士气,叠放数量,使用消失,流通次数,物品转移记录,存在时间的类型,存在时间,切地图消失,冷却ID,排序等级,,,,,,,,BcmPickupMessage,long lDropCallLua,long lParam_1,long lParam_2,long lParam_3,需求技能,基本效果ID1,基本效果ID2,基本效果ID3,基本效果ID4,基本效果ID5,基本效果ID6,基本效果ID7,基本效果ID8,卡片数,卡片数,精炼等级?,最大耐久上限,装备种类,套装ID,攻击速度,攻击动作,鉴定费用,可装备的位置1,可装备的位置2,可装备的位置3,可装备的位置4,制造属性1的ID1，固定类型,制造属性2的ID2，固定类型,制造属性3的ID，不可升级,精炼属性ID,精炼的3级熟练度配置,lE_Slot_Min,lE_Slot_Max,部件ID1,男外形_游1,女外形_游1,男外形1,女外形1,部件ID2,男外形_游2,女外形_游2,男外形2,女外形2,部件ID3,男外形_游3,女外形_游3,男外形3,女外形3,lHideHair,lHideHair,lHideHair,能否升级,合成原料1,原料1数量,合成原料2,原料2数量,合成原料3,原料3数量,合成原料4,原料4数量,合成原料5,原料5数量,可镶嵌的宝石种类,可镶嵌的宝石档次上限,,long lULShowID[UL_STATEID_MAX],NeedSex,lAddCallLua,lNotShowBedeck,lAddTimeNeedNum,RepairPayforType,装备降级类型
0:无效ID,15个汉字,31个汉字,127个汉字,最多7个汉字,lResID,lResID,lResID,lLevel,1:装备，2:药品，3:原料,"1 头部
2 眼睛
3 嘴部
4 项链
5 衣服
6 腰带
7 手套
8 戒指
9 护腿
10背部
11主手武器
12副手武器
13双手武器
14鞋子
15休闲装头
16休闲装衣
17武魂
18经验魂","1000 单手匕首    3002 披风 
1001 单手剑      3003 眼部
1002 双手剑      3004 嘴部
1003 双手斧      4000 金币
1004 双手枪      4001 点券
1005 双手魔法书  5000 矿物
2000 头盔        5001 木材
2001 衣服        5002 药材
2002 腰带        5003 食材
2003 手套        5004 猎材
2004 护腿        5005 其它
2005 鞋子        6000 药品
2006 盾牌        6001 施法材料
3000 项链        7000 生产工具
3001 戒指        8000 士气装备2007 时装",0:无数个,爵位不够无法使用,0:没有要求，1:战斗，2:非战斗,0~100，0:不掉落,1:获得后不允许交易等,1:装备后不允许交易等,1:不可以销毁,1:不可以出售,从NPC处买入消耗的金币,从NPC处买入消耗的购物券,从NPC处买入消耗的士气,从NPC处买入消耗的点券,向NPC处卖出的价格,向NPC处卖出获得的士气,,1:使用后消失,0~30。-1:无次数限制,为1表示开启物品档案，会记录物品的转移情况,0:游戏时间，1:现实时间,游戏时间单位:秒，现实时间单位:分钟，-1:无时间限制,为1表示切换地图物品会消失,所有的冷却ID要唯一,0级优先级最低，排在最后面, //LUA使用类型，0：未知，1：直接使用，2：选择目标使用，3：选择地面使用，4：选择战争地图位置使用,//物品的LUA函数名字,死亡销毁的几率，单位：百分数（目前仅支持士气装备）,为1表示下线掉落,为1表示切换地图掉落（优先于lClear_NextMap）,//为1表示不能放置到仓库,"//1，物理装备 
2，火药装备
3，魔法装备
4，提炼石",BOSS掉落后的拾取广播(默认0，不广播;需要广播请对应掉落装备品质填写格式：1+2+...),"//为1表示此物品被丢弃时，会回调lua函数：OnDropGoods(long lActorID， long lGoodsID， long lContainerID， long lPos， long luidHigh， long luidLow)
",//保留ID,//保留ID,//保留ID,装备时需要的技能,,,,,,,,,最小值,最大值,0~1,最大32766，超过会变负数,"1  = 头盔
2  = 项链
3  = 腰带
4  = 手套
5  = 戒指
6  = 护腿
7  = 鞋子
8  = 匕首
9  = 单手剑
10 = 双手剑
11 = 双手斧
12 = 双手枪
13 = 双手魔法书
14 = 布甲
15 = 轻甲
16 = 重甲
17 = 士气装备
18 = 装饰物
19 = 生产工具",0:非套装,空手的话以actorbaseprop为准，拿装备以装备为准，单位是次/千秒，数字越大攻击速度越快,"单手武器0
双手武器1
弓箭类2",0~*,无效填-1,无效填-1,无效填-1,无效填-1,,,格式：X1-X2...X8,格式：X1+X2...X8,格式：X1+X2+X3,//最少凹槽数量0~3,//最多凹槽数量0~3,见客户端CreatureViewDef.h文件的enum enCreaturePart,用于游戏中角色外观,用于游戏中角色外观,用于装备栏显示的角色外观,用于装备栏显示的角色外观,,,,,,无:-1,,,,,为1表示穿上这件装备时，隐藏里头发,为1表示穿上这件装备时，隐藏男角色外头发,为1表示穿上这件装备时，隐藏女角色外头发,"//为1表示此装备可以升级
","//装备合成需要的物品ID（用于士气装备合成）
",//物品数量,"//装备合成需要的物品ID（用于士气装备合成）
",//物品数量,"//装备合成需要的物品ID（用于士气装备合成）
",//物品数量,"//装备合成需要的物品ID（用于士气装备合成）
",//物品数量,"//装备合成需要的物品ID（用于士气装备合成）
",//物品数量,"最大10个
格式：X1+X2+X3…", lGemLevelMax,//装备升级+9时的状态ID（用于显示的特效）,//装备升级+5 - +9时的粒子效果ID,装备要求的性别，0：无要求，1：男性，2：女性,1：穿着时会回调lua函数;,//1：不显示装备头评价,续时需要消耗“装备续时物品”的数目,// 维修时支付的货币类型:0:金币;1:士气;2:购物券;3:水晶币，默认为 0,防具类型ID为1，武器类型ID为2
4000,刽子手头盔 (1档),精制的头盔,,物理装备,63005,63005,63005,1,1,1,2000,0,4,0,0,0,1,0,0,108,,0,,1,,1,0,-1,1,0,-1,,,,,,,,,,1,6,,,,,0,1001,1097,1193,,,,,,,3,,12800,1,1,,,,17,-1,-1,-1,1,257,,7001+7001+7001+7001+7001+7001+7001+7001,5+10+20,,2,0,737,683,801,615,-1,,,,,4,,705,,632,1,,,1,,,,,,,,,,,1+2+3,2,,,,,,,3,1
4001,钢铸头盔 (2档),简陋的头盔,,物理装备,63002,63002,63002,2,1,1,2000,0,14,0,0,0,1,0,0,120,500,0,,1,,1,0,-1,1,0,-1,,,,,,,,,,1,6,,,,,0,1002,1098,1194,,,,,,,3,,3456,1,2,,,,17,-1,-1,-1,2,258,,7002+7002+7002+7002+7002+7002+7002+7002,6+12+24,,3,0,6,195,293,385,-1,,,,,4,,222,,412,1,,,1,,,,,,,,,,,1+2+3,3,,,,,,,3,1
4002,守护头盔 (3档),厚重的头盔,,物理装备,63001,63001,63001,3,1,1,2000,0,29,0,0,0,1,0,0,500,,0,,1,,1,0,-1,1,0,-1,,,,,,,,,,1,6,,,,,0,1003,1099,1195,,,,,,,3,,3968,1,3,,,,17,-1,-1,-1,3,259,,7003+7003+7003+7003+7003+7003+7003+11003,7+14+28,,3,0,11,196,298,386,-1,,,,,-1,,,,,,1,1,1,,,,,,,,,,,1+2+3,4,,,,,,,3,1
4003,野蛮头盔 (4档),魔力的头盔,,物理装备,63004,63004,63004,4,1,1,2000,0,54,0,0,0,1,0,0,1000,,0,,1,,1,0,-1,1,0,-1,,,,,,,,,,1,6,,,,,0,1004,1100,1196,,,,,,,3,,3968,1,4,,,,17,-1,-1,-1,4,260,,7004+7004+7004+7004+7004+7004+7004+11004,8+16+32,,3,0,,684,,614,3,760,,824,,-1,,,,,1,,,1,,,,,,,,,,,1+2+3,5,,,,,,,,1
4004,骑士头盔 (5档),牢固的头盔,,物理装备,63003,63003,63003,5,1,1,,0,69,0,0,0,1,0,0,1700,,0,,1,,1,0,-1,1,0,-1,,,,,,,,,,1,6,,,,,0,1005,1101,1197,,,,,,,3,,3968,1,,,,,17,-1,-1,-1,5,261,,7005+7005+7005+7005+7005+7005+7005+11005,255+255+255,,3,0,740,685,804,613,-1,,,,,-1,,,,,,1,1,1,,,,,,,,,,,1+2+3,6,,,,,,,,1
4005,黑蔷薇面罩 (6档),雕花的头盔,,物理装备,63004,63004,63004,6,1,1,,0,84,0,0,0,1,0,0,3000,,0,,1,,1,0,-1,1,0,-1,,,,,,,,,,1,6,,,,,0,1006,1102,1198,,,,,,,3,,3968,1,,,,,17,-1,-1,-1,6,262,,7006+7006+7006+7006+7006+7006+7006+11006,255+255+255,,3,0,737,683,801,615,-1,,,,,-1,,,,,,1,1,1,,,,,,,,,,,1+2+3,7,,,,,,,,1
4006,微笑刺客面罩 (7档),皇室的头盔,,物理装备,63004,63004,63004,7,1,1,,0,86,0,0,0,1,0,0,6000,,0,,1,,1,0,-1,1,0,-1,,,,,,,,,,1,6,,,,,0,1007,1103,1199,,,,,,,3,,3968,1,,,,,17,-1,-1,-1,7,263,,7007+7007+7007+7007+7007+7007+7007+11007,255+255+255,,3,0,737,683,801,615,-1,,,,,-1,,,,,,1,1,1,,,,,,,,,,,1+2+3,8,,,,,,,,1
4007,鬼魅杀手面罩 (8档),梦幻的头盔,,物理装备,63004,63004,63004,8,1,1,,0,86,0,0,0,1,0,0,12000,,0,,1,,1,0,-1,1,0,-1,,,,,,,,,,1,6,,,,,0,1008,1104,1200,,,,,,,3,,3968,1,,,,,17,-1,-1,-1,8,264,,7008+7008+7008+7008+7008+7008+7008+11008,255+255+255,,3,0,737,683,801,615,-1,,,,,-1,,,,,,1,1,1,,,,,,,,,,,1+2+3,8,,,,,,,,1
4100,刽子手铠甲 (1档),精制的胸甲,,物理装备,63505,63505,63505,1,1,5,2001,0,1,0,0,0,1,0,0,108,,0,,1,,1,0,-1,1,0,-1,,,,,,,,,,1,6,,,,,0,1009,1105,1201,,,,,,,3,,12800,16,1,,,,15,-1,-1,-1,9,265,,1001+1001+1001+1001+1001+16001+16001+16001,5+10+20,,2,7,1053,715,1269,643,6,,,,,-1,,,,,,,,1,,,,,,,,,,,1+2+3+10,2,,,,,,,3,1
4101,钢铸胸甲 (2档),简陋的胸甲,,物理装备,63502,63502,63502,2,1,5,2001,0,11,0,0,0,1,0,0,120,500,0,,1,,1,0,-1,1,0,-1,,,,,,,,,,1,6,,,,,0,1010,1106,1202,,,,,,,3,,3456,16,2,,,,15,-1,-1,-1,10,266,,1002+1002+1002+1002+1002+16002+16002+16002,6+12+24,,3,7,42,235,329,422,6,1226,224,922,414,-1,,,,,,,,1,,,,,,,,,,,1+2+3+10,3,,,,,,,3,1
4102,守护胸甲 (3档),厚重的胸甲,,物理装备,63501,63501,63501,3,1,5,2001,0,26,0,0,0,1,0,0,500,,0,,1,,1,0,-1,1,0,-1,,,,,,,,,,1,6,,,,,0,1011,1107,1203,,,,,,,3,,3968,16,3,,,,15,-1,-1,-1,11,267,,1003+1003+1003+1003+4003+16003+16003+16003,7+14+28,,3,7,41,232,327,423,6,34,225,320,415,-1,,,,,,,,1,,,,,,,,,,,1+2+3+10,4,,,,,,,3,1
4103,野蛮胸甲 (4档),魔力的胸甲,,物理装备,63504,63504,63504,4,1,5,2001,0,51,0,0,0,1,0,0,1000,,0,,1,,1,0,-1,1,0,-1,,,,,,,,,,1,6,,,,,0,1012,1108,1204,,,,,,,3,,3968,16,4,,,,15,-1,-1,-1,12,268,,1004+1004+1004+1004+4004+16004+16004+16004,8+16+32,,3,7,1052,713,1270,642,6,,688,,635,-1,,,,,,,,1,,,,,,,,,,,1+2+3+10,5,,,,,,,,1
4104,骑士胸甲 (5档),牢固的胸甲,,物理装备,63503,63503,63503,5,1,5,,0,66,0,0,0,1,0,0,1700,,0,,1,,1,0,-1,1,0,-1,,,,,,,,,,1,6,,,,,0,1013,1109,1205,,,,,,,3,,3968,16,,,,,15,-1,-1,-1,13,269,,1005+1005+1005+1005+4005+16005+16005+16005,255+255+255,,3,7,769,714,832,641,6,763,690,826,634,-1,,,,,,,,1,,,,,,,,,,,1+2+3+10,6,,,,,,,,1
4105,黑蔷薇铠甲 (6档),雕花的胸甲,,物理装备,63504,63504,63504,6,1,5,,0,81,0,0,0,1,0,0,3000,,0,,1,,1,0,-1,1,0,-1,,,,,,,,,,1,6,,,,,0,1014,1110,1206,,,,,,,3,,3968,16,,,,,15,-1,-1,-1,14,270,,1006+1006+1006+1006+4006+16006+16006+16006,255+255+255,,3,7,1053,715,1269,643,6,,,,,-1,,,,,,,,1,,,,,,,,,,,1+2+3+10,7,,,,,,,,1
4106,微笑刺客铠甲 (7档),皇室的胸甲,,物理装备,63504,63504,63504,7,1,5,,0,86,0,0,0,1,0,0,6000,,0,,1,,1,0,-1,1,0,-1,,,,,,,,,,1,6,,,,,0,1015,1111,1207,,,,,,,3,,3968,16,,,,,15,-1,-1,-1,15,271,,1007+1007+1007+1007+4007+16007+16007+16007,255+255+255,,3,7,1053,715,1269,643,6,,,,,-1,,,,,,,,1,,,,,,,,,,,1+2+3+10,8,,,,,,,,1
4107,鬼魅杀手铠甲 (8档),梦幻的胸甲,,物理装备,63504,63504,63504,8,1,5,,0,86,0,0,0,1,0,0,12000,,0,,1,,1,0,-1,1,0,-1,,,,,,,,,,1,6,,,,,0,1016,1112,1208,,,,,,,3,,3968,16,,,,,15,-1,-1,-1,16,272,,1008+1008+1008+1008+4008+16008+16008+16008,255+255+255,,3,7,1053,715,1269,643,6,,,,,-1,,,,,,,,1,,,,,,,,,,,1+2+3+10,8,,,,,,,,1
