物品ID,名字,描述(31汉字),物品详细描述（127汉字）,物品类型描述,物品栏图片,物品栏图片,物品栏图片,等级,物品分类,物品子类,lBourseClass,生物最多拥有个数,需求爵位,需求状态,死亡掉落几率,获取绑定,装备绑定,为1表示：物品不可以丢弃销毁,出售标志,买入价格,购物卷买入,买入士气,点卷购买,卖出价格,卖出士气,叠放数量,使用消失,流通次数,物品转移记录,存在时间的类型,存在时间,切换地图是否消失,物品冷却ID,物品排序,lUseType_LUA,szGoods_LUA[64],死亡销毁,下线掉落,切换地图掉落,能否放仓库,交易所分类查询,BcmPickupMessage,long lDropCallLua,long lBaseParam_1,long lBaseParam_2,long lBaseParam_3,生活材料描述
0:无效ID,15个汉字,31个汉字,400个汉字,最多7个汉字,lResID,lResID,lResID,lLevel,1:装备，2:药品，3:原料，11:请帖,,"1000 单手匕首    3002 披风 
1001 单手剑      3003 眼部
1002 双手剑      3004 嘴部
1003 双手斧      4000 金币
1004 双手枪      4001 点卷
1005 双手魔法书  5000 矿物
2000 头盔        5001 木材
2001 衣服        5002 药材
2002 腰带        5003 食材
2003 手套        5004 猎材  8001 一档配方  8003 二档配方  8004 三档配方  8005 四档配方
2004 护腿        5005 其它  5006 宝石   5026水晶  5019宝箱钥匙
2005 鞋子        6000 药品  6001功能药品
2006 盾牌        6002 施法材料
3000 项链        7000 生产工具
3001 戒指        8000 图纸     8001 配方  8002 卡片  抄卷： 5030
提炼石：5031",0:无数个,爵位不够无法使用,0:没有要求，1:战斗，2:非战斗,0~100，0:不掉落,1:获得后不允许交易等,1:装备后不允许交易等,1:不可以销毁,1:不可以出售,从NPC处买入,从NPC处买入消耗的新手购物卷,从NPC处买入消耗的士气,从NPC处买入消耗的点卷,向NPC处卖出的价格,向NPC处卖出消耗的士气,,1:使用后消失,0~30。-1:无次数限制,为1表示开启物品档案，会记录物品的转移情况,0:游戏时间，1:现实时间,游戏时间单位:秒，现实时间单位:天，-1:无时间限制,为1表示切换地图物品会消失,物品的冷却ID，注意：所有的冷却ID要唯一,物品的排序等级，0级优先级最低，排在最后面,LUA使用类型0：未知，1：直接使用，2：选择目标使用，3：选择地面使用，4：选择战争地图位置使用,物品的LUA函数名字,玩家死亡物品物品有概率销毁（概率100为100%）,玩家下线物品栏的物品掉落(1表示一定掉落),玩家切换地图物品栏的物品掉落(1表示一定掉落),为1表示不能放仓库,交易所查询物品属性定义,BOSS掉落后的拾取广播(默认0，不广播;1为需要广播),为1表示此物品被丢弃时，会回调lua函数：OnDropGoods(long lActorID， long lGoodsID， long lContainerID， long lPos， long luidHigh， long luidLow),保留ID,保留ID,保留ID,127个汉字，生活技能面板中读取
80000,空之铜,一档近战装备(不包括披风、指环和项链),★  [a]用途：[/]一档近战装备（不包括披风、指环和项链）#★  [a]获取：[/]无#★  [a]说明：[/]无,材料,52025,52025,52025,1,3,1,0,0,,0,0,,,,,4,4,0,,,,1000,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80001,空之铜结晶,,,材料,52026,52026,52026,1,3,1,0,0,,0,0,,,,,18,18,0,,,,1000,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80002,时之铁,二档近战装备(不包括披风、指环和项链)、技能元素制造原料,★  [a]用途：[/]二档近战装备（不包括披风、指环和项链）、技能元素制造原料#★  [a]获取：[/]二档金属探测器#★  [a]说明：[/][255:0:255]采集时之铁需要装备黄铜锄[/]（新手商人有出售）,材料,52021,52021,52021,2,3,1,5000,0,,0,0,,,,,300,300,0,,,,9999,,-1,1,,-1,0,,,,,,,,,0,,,,,,★  [a]采集方法一[/]：在【二档资源采集区】自己建设金属采集场进行采集或者【按M键查看】寻找其它玩家建设的金属采集场进行采集【按L查看土地发布信息】#★  [a]采集方法二[/]：在新手商人购买【二档金属探测器】，右键使用探测器可以探出二档金属进行采集#★  [a]采集工具[/]：【黄铜锄】
80003,时之铁结晶,,,材料,52022,52022,52022,2,3,1,0,0,,0,0,,,,,24,24,0,,,,1000,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80004,永恒冰石,三档近战装备(不包括披风、指环和项链),★  [a]用途：[/]三档近战装备（不包括披风、指环和项链）#★  [a]获取：[/]三档金属探测器#★  [a]说明：[/][255:0:255]采集永恒冰石需要装备白银锄[/]（金属采集6级制造）,材料,52023,52023,52023,3,3,1,5000,0,,0,0,,,,,400,400,0,,,,9999,,-1,1,,-1,0,,,,,,,,,0,,,,,,★  [a]采集方法一[/]：在【三档资源采集区】自己建设金属采集场进行采集或者【按M键查看】寻找其它玩家建设的金属采集场进行采集【按L查看土地发布信息】#★  [a]采集方法二[/]：在生产供应商购买【三档金属探测器】，右键使用探测器可以探出三档金属进行采集#★  [a]采集工具[/]：【白银锄】
80005,永恒冰石结晶,,,材料,52024,52024,52024,3,3,1,0,0,,0,0,,,,,30,30,0,,,,1000,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80006,红龙赤铁,四档近战装备(不包括披风、指环和项链),★  [a]用途：[/]四档近战装备（不包括披风、指环和项链）#★  [a]获取：[/]四档金属探测器#★  [a]说明：[/][255:0:255]采集红龙赤铁需要装备镶金锄[/]（金属采集12级制造）,材料,52027,52027,52027,4,3,1,5000,0,,0,0,,,,,500,500,0,,,,9999,,-1,1,,-1,0,,,,,,,,,0,,,,,,★  [a]采集方法[/]：在生产供应商购买【四档金属探测器】，右键使用探测器可以探出四档金属进行采集#★  [a]采集工具[/]：【镶金锄】
80007,红龙赤铁结晶,**暂无**,,材料,52028,52028,52028,4,3,1,0,0,,0,0,,,,,1000,1000,0,,,,1000,,-1,0,,-1,0,,,,,,,,,0,,,,,,
80008,绿鹦石,五档近战装备(不包括披风、指环和项链),★  [a]用途：[/]五档近战装备（不包括披风、指环和项链）#★  [a]获取：[/]五档金属探测器#★  [a]说明：[/]不详,材料,52029,52029,52029,5,3,1,0,0,,0,0,,,,,1000,1000,0,,,,1000,,-1,0,,-1,0,,,,,,,,,0,,,,,,
