物品ID,名字,描述,物品详细描述(127汉字),物品类型描述,物品栏图片,地上图片,缩小图片,等级,物品分类,物品子类,lBourseClass,生物最多拥有个数,需求等级,需求状态,死亡掉落几率,获取绑定,装备绑定,销毁标志,出售标志,买入价格,水晶币买入,买入士气,点卷购买,卖出价格,卖出士气,叠放数量,使用消失,流通次数,物品转移记录,存在时间的类型,存在时间,切地图消失,物品冷却ID,物品排序,lUseType_LUA,szGoods_LUA[64],死亡销毁,下线掉落,切换地图掉落,能否放仓库,交易所分类查询,BcmPickupMessage,long lDropCallLua,long lBaseParam_1,long lBaseParam_2,long lBaseParam_3,作用ID1,背包续时油需求个数,装备降级类型
0:无效ID,15个汉字,31个汉字,127个汉字,最多7个汉字,lResID,lResID,lResID,lLevel,1:装备，2:药品，3:原料，4:背包，11:请帖,,3900,0:无数个,等级不够无法使用,0:没有要求，1:战斗，2:非战斗,0~100，0:不掉落,1:获得后不允许交易等,1:装备后不允许交易等,1:不可以销毁,1:不可以出售,从NPC处买入,从NPC处买入消耗的新手水晶币,从NPC处买入消耗的士气,从NPC处买入消耗的点卷,向NPC处卖出的价格,向NPC处卖出消耗的士气,,1:使用后消失,0~30。255:无次数限制,为1表示开启物品档案，会记录物品的转移情况,0:游戏时间，1:现实时间,游戏时间单位:秒，现实时间单位:秒，0:无时间限制,//为1表示切换地图物品会消失,物品的冷却ID，注意：所有的冷却ID要唯一,物品的排序等级，0级优先级最低，排在最后面,LUA使用类型0：未知，1：直接使用，2：选择目标使用，3：选择地面使用，4：选择战争地图位置使用,物品的LUA函数名字,玩家死亡物品物品有概率销毁（概率100为100%）,玩家下线物品栏的物品掉落(1表示一定掉落),玩家切换地图物品栏的物品掉落(1表示一定掉落),为1表示不能放仓库,交易所查询物品属性定义,BOSS掉落后的拾取广播(默认0，不广播;1为需要广播),"为1表示此物品被丢弃时，会回调lua函数：OnDropGoods(long lActorID, long lGoodsID, long lContainerID, long lPos, long luidHigh, long luidLow)",保留ID,保留ID,保留ID,0:没有作用,,"防具类型ID:1
武器类型ID:2"
9000,商城,**暂无**,,**暂无**,40025,40025,40025,0,2,1,0,0,0,0,0,0,0,,0,10000,10000,0,,,,10000,0,-1,0,,-1,,0,,,,,,,,0,,,,,,9000,,
9500,5格背包,5格背包,★  [a]用途：[/]该背包可以额外增加5个格子#★  [a]说明：[/][255:0:255]右键点击背包进行使用[/],背包,57032,57032,57032,1,4,,5005,0,0,0,0,0,1,,0,25000,50000,0,250,,,1,0,-1,0,,-1,,5,,,,,,,,0,,,,,,5,,
9501,8格背包,8格背包,★  [a]用途：[/]该背包可以额外增加8个格子#★  [a]说明：[/][255:0:255]右键点击背包进行使用[/],背包,57146,57146,57146,2,4,,5005,0,0,0,0,0,1,,0,40000,80000,0,400,,,1,0,-1,0,,-1,,8,,,,,,,,0,,,,,,8,,
9502,10格背包,10格背包,★  [a]用途：[/]该背包可以额外增加10个格子#★  [a]说明：[/][255:0:255]右键点击背包进行使用[/],背包,57033,57033,57033,3,4,,5005,0,0,0,0,0,1,,0,50000,100000,0,500,,,1,0,-1,0,,-1,,10,,,,,,,,0,,,,,,10,,
9503,12格背包,12格背包,★  [a]用途：[/]该背包可以额外增加12个格子#★  [a]获取：[/]商城出售#★  [a]说明：[/][255:0:255]右键点击背包进行使用[/],背包,104130,104130,104130,4,4,,5005,0,0,0,0,0,1,,0,90000,180000,0,900,,,1,0,-1,1,,-1,,12,,,,,,,,0,,,,,,12,,
9504,14格背包,14格背包,★  [a]用途：[/]该背包可以额外增加14个格子#★  [a]获取：[/]商城出售#★  [a]说明：[/][255:0:255]右键点击背包进行使用[/],背包,104131,104131,104131,5,4,,5005,0,0,0,0,0,1,,0,122500,245000,0,1225,,,1,0,-1,1,,-1,,14,,,,,,,,0,,,,,,14,,
9505,16格背包,16格背包,★  [a]用途：[/]该背包可以额外增加16个格子#★  [a]获取：[/]商城出售#★  [a]说明：[/][255:0:255]右键点击背包进行使用[/],背包,104132,104132,104132,6,4,,5005,0,0,0,0,0,1,,0,160000,320000,0,1600,,,1,0,-1,1,,-1,,16,,,,,,,,0,,,,,,16,,
9506,18格背包,18格背包,★  [a]用途：[/]该背包可以额外增加18个格子#★  [a]获取：[/]商城出售#★  [a]说明：[/][255:0:255]右键点击背包进行使用[/],背包,104135,104135,104135,7,4,,5005,0,0,0,0,0,1,,0,315000,630000,0,3150,,,1,0,-1,1,,-1,,18,,,,,,,,0,,,,,,18,,
9507,20格背包,20格背包,★  [a]用途：[/]该背包可以额外增加20个格子#★  [a]获取：[/]商城出售#★  [a]说明：[/][255:0:255]右键点击背包进行使用[/],背包,104136,104136,104136,8,4,,5005,0,0,0,0,0,1,,0,350000,700000,0,3500,,,1,0,-1,1,,-1,,20,,,,,,,,0,,,,,,20,,
101,微型生命药水,持续20秒，+98生命/2秒，在拉锯浮空岛内被击停止回复。,★  [a]用途：[/]持续20秒，[a]+98生命/2秒[/]#★  [a]获取：[/]新手商店出售#★  [a]说明：[/][255:0:255]在拉锯浮空岛内受到攻击立即停止回复[/]，除此之外的区域受到攻击[255:0:255]不会[/]打断,药品,80004,80004,80004,1,2,1,0,0,0,0,0,,,,,1,6,0,,,,1000,1,-1,0,,-1,,101,,,,,,,,0,,,,,,101,,
102,小型生命药水,等级要求:11级。持续20秒，+186生命/2秒，在拉锯浮空岛内被击停止回复。,★  [a]用途：[/]持续20秒，[a]+186生命/2秒[/]#★  [a]获取：[/]新手商店出售#★  [a]说明：[/][255:0:255]在拉锯浮空岛内受到攻击立即停止回复[/]，除此之外的区域受到攻击[255:0:255]不会[/]打断,药品,80010,80010,80010,2,2,1,0,0,11,0,0,,,,,4,18,0,,,,1000,1,-1,0,,-1,,102,,,,,,,,0,,,,,,102,,
103,中小型生命药水,等级要求:26级。持续20秒，+295生命/2秒，在拉锯浮空岛内被击停止回复。,★  [a]用途：[/]持续20秒，[a]+295生命/2秒[/]#★  [a]获取：[/]新手商店出售#★  [a]说明：[/][255:0:255]在拉锯浮空岛内受到攻击立即停止回复[/]，除此之外的区域受到攻击[255:0:255]不会[/]打断,药品,80011,80011,80011,3,2,1,6000,0,26,0,0,,,,,13,54,0,,,,9999,1,-1,0,,-1,,103,,,,,,,,0,,,,,,103,,
104,中型生命药水,等级要求:41级。持续20秒，+407生命/2秒，在拉锯浮空岛内被击停止回复。,★  [a]用途：[/]持续20秒，[a]+407生命/2秒[/]#★  [a]获取：[/]材料药品商#★  [a]说明：[/][255:0:255]在拉锯浮空岛内受到攻击立即停止回复[/]，除此之外的区域受到攻击[255:0:255]不会[/]打断,药品,80012,80012,80012,4,2,1,0,0,41,0,0,,,,,73,162,0,,,,1000,1,-1,0,,-1,,104,,,,,,,,0,,,,,,104,,
105,大型生命药水,等级要求:51级。持续20秒，+483生命/2秒，在拉锯浮空岛内被击停止回复。,★  [a]用途：[/]持续20秒，[a]+483生命/2秒[/]#★  [a]获取：[/]材料药品商#★  [a]说明：[/][255:0:255]在拉锯浮空岛内受到攻击立即停止回复[/]，除此之外的区域受到攻击[255:0:255]不会[/]打断,药品,80013,80013,80013,5,2,1,0,0,51,0,0,,,,,98,486,0,,,,1000,1,-1,0,,-1,,105,,,,,,,,0,,,,,,105,,
106,[微型不打断]生命药水,持续20秒，+98生命/2秒。,★  [a]用途：[/]持续20秒，[255:0:255]+98生命/2秒[/]#★  [a]获取：[/]浮空岛后勤官,药品,80004,80004,80004,1,2,1,0,0,1,0,0,,,,,0,0,30,,,3,1000,1,-1,0,,-1,1,101,,,,,,,,0,,,,,,106,,
107,[微型不打断]生命药水,持续20秒，+98生命/2秒。,★  [a]用途：[/]持续20秒，[255:0:255]+98生命/2秒[/]#★  [a]获取：[/]浮空岛后勤官,药品,80004,80004,80004,1,2,1,0,0,1,0,0,,,,,0,0,60,,,6,1000,1,-1,0,,-1,1,101,,,,,,,,0,,,,,,107,,
108,[小型不打断]生命药水,持续20秒，+186生命/2秒。,★  [a]用途：[/]持续20秒，[255:0:255]+186生命/2秒[/]#★  [a]获取：[/]浮空岛后勤官,药品,80010,80010,80010,2,2,1,0,0,10,0,0,,,,,0,0,75,,,7,1000,1,-1,0,,-1,1,102,,,,,,,,0,,,,,,108,,
109,[小型不打断]生命药水,持续20秒，+186生命/2秒。,★  [a]用途：[/]持续20秒，[255:0:255]+186生命/2秒[/]#★  [a]获取：[/]浮空岛后勤官,药品,80010,80010,80010,2,2,1,0,0,10,0,0,,,,,0,0,180,,,18,1000,1,-1,0,,-1,1,102,,,,,,,,0,,,,,,109,,
110,[中小型不打断]生命药水,持续20秒，+295生命/2秒。,★  [a]用途：[/]持续20秒，[255:0:255]+295生命/2秒[/]#★  [a]获取：[/]浮空岛后勤官,药品,80011,80011,80011,3,2,1,0,0,20,0,0,,,,,0,0,225,,,22,1000,1,-1,0,,-1,1,103,,,,,,,,0,,,,,,110,,
111,[中小型不打断]生命药水,持续20秒，+295生命/2秒。,★  [a]用途：[/]持续20秒，[255:0:255]+295生命/2秒[/]#★  [a]获取：[/]浮空岛后勤官,药品,80011,80011,80011,3,2,1,0,0,20,0,0,,,,,0,0,300,,,30,1000,1,-1,0,,-1,1,103,,,,,,,,0,,,,,,111,,
112,[中型不打断]生命药水,持续20秒，+407生命/2秒。,★  [a]用途：[/]持续20秒，[255:0:255]+407生命/2秒[/],药品,80012,80012,80012,4,2,1,0,0,30,0,0,,,,,0,0,450,,,45,1000,1,-1,0,,-1,1,104,,,,,,,,0,,,,,,112,,
113,[中型不打断]生命药水,持续20秒，+407生命/2秒。,★  [a]用途：[/]持续20秒，[255:0:255]+407生命/2秒[/],药品,80012,80012,80012,4,2,1,0,0,30,0,0,,,,,0,0,675,,,67,1000,1,-1,0,,-1,1,104,,,,,,,,0,,,,,,113,,
114,[中型不打断]生命药水,持续20秒，+407生命/2秒。,★  [a]用途：[/]持续20秒，[255:0:255]+407生命/2秒[/],药品,80012,80012,80012,4,2,1,0,0,30,0,0,,,,,0,0,780,,,78,1000,1,-1,0,,-1,1,104,,,,,,,,0,,,,,,114,,
115,[大型不打断]生命药水,持续20秒，+483生命/2秒。,★  [a]用途：[/]持续20秒，[255:0:255]+483生命/2秒[/],药品,80013,80013,80013,5,2,1,0,0,40,0,0,,,,,0,0,990,,,99,1000,1,-1,0,,-1,1,105,,,,,,,,0,,,,,,115,,
116,[大型不打断]生命药水,持续20秒，+483生命/2秒。,★  [a]用途：[/]持续20秒，[255:0:255]+483生命/2秒[/],药品,80013,80013,80013,5,2,1,0,0,40,0,0,,,,,0,0,1170,,,117,1000,1,-1,0,,-1,1,105,,,,,,,,0,,,,,,116,,
117,[特殊]微型生命药水,瞬间回复800点生命。,★  [a]用途：[/][255:0:255]瞬间+800生命[/]#★  [a]说明：[/][255:0:255]冷却时间80秒[/],药品,104244,104244,104244,2,2,1,6000,0,0,0,0,,,,,300,300,0,3,,,1000,1,-1,1,,-1,,117,,,,,,,,0,,,,,,117,,
118,[特殊]小型生命药水,等级要求:26级。瞬间回复1200点生命。,★  [a]用途：[/][255:0:255]瞬间+1200生命[/]#★  [a]获取：[/]商城出售#★  [a]说明：[/][255:0:255]冷却时间80秒[/],药品,104243,104243,104243,2,2,1,6000,0,26,0,0,,,,,540,540,0,6,,,1000,1,-1,1,,-1,,117,,,,,,,,0,,,,,,117,,
119,[特殊]中小型生命药水,等级要求:36级。瞬间回复2000点生命。,★  [a]用途：[/][255:0:255]瞬间+2000生命[/]#★  [a]获取：[/]商城出售#★  [a]说明：[/][255:0:255]冷却时间80秒[/],药品,104241,104241,104241,3,2,1,6000,0,36,0,0,,,,,810,810,0,9,,,1000,1,-1,1,,-1,,117,,,,,,,,0,,,,,,117,,
120,[特殊]中型生命药水,等级要求:51级。瞬间回复2500点生命。,★  [a]用途：[/][255:0:255]瞬间+2500生命[/]#★  [a]获取：[/]商城出售#★  [a]说明：[/][255:0:255]冷却时间80秒[/],药品,104240,104240,104240,4,2,1,6000,0,51,0,0,,,,,1620,1620,0,17,,,1000,1,-1,1,,-1,,117,,,,,,,,0,,,,,,117,,
121,[特殊]大型生命药水,等级要求:66级。瞬间回复3000点生命。,★  [a]用途：[/][255:0:255]瞬间+3000生命[/]#★  [a]获取：[/]商城出售#★  [a]说明：[/][255:0:255]冷却时间80秒[/],药品,104242,104242,104242,5,2,1,6000,0,66,0,0,,,,,2430,2430,0,25,,,1000,1,-1,1,,-1,,117,,,,,,,,0,,,,,,117,,
122,[极品]中小型生命药水,等级要求:26级。持续20秒，+407生命/2秒，被击停止回复。,★  [a]用途：[/]持续20秒，[255:0:255]+407生命/2秒[/]#★  [a]说明：[/][255:0:255]受到攻击立即停止回复[/],药品,80012,80012,80012,3,2,1,0,0,26,0,0,,,,,100,100,0,,,,1000,1,-1,0,,-1,,103,,,,,,,,0,,,,,,104,,
123,[极品]中型生命药水,等级要求:51级。持续20秒，+483生命/2秒，被击停止回复。,★  [a]用途：[/]持续20秒，[255:0:255]+483生命/2秒[/]#★  [a]说明：[/][255:0:255]受到攻击立即停止回复[/],药品,80013,80013,80013,4,2,1,0,0,51,0,0,,,,,500,500,0,,,,1000,1,-1,0,,-1,,104,,,,,,,,0,,,,,,105,,
201,微型能量药水,持续10秒，+38能量/2秒。,★  [a]用途：[/]持续10秒，[255:0:255]+38能量/2秒[/]#★  [a]获取：[/]新手商店出售,药品,80002,80002,80002,1,2,1,0,0,0,0,0,,,,,1,6,0,,,,1000,1,-1,0,,-1,,201,,,,,,,,0,,,,,,117,,
202,小型能量药水,等级要求:11级。持续10秒，+48能量/2秒。,★  [a]用途：[/]持续10秒，[255:0:255]+48能量/2秒[/]#★  [a]获取：[/]新手商店出售,药品,80020,80020,80020,2,2,1,0,0,11,0,0,,,,,4,18,0,,,,1000,1,-1,0,,-1,,202,,,,,,,,0,,,,,,117,,
203,中小型能量药水,等级要求:26级。持续10秒，+61能量/2秒。,★  [a]用途：[/]持续10秒，[255:0:255]+61能量/2秒[/]#★  [a]获取：[/]新手商店出售,药品,80021,80021,80021,3,2,1,6000,0,26,0,0,,,,,13,54,0,,,,9999,1,-1,0,,-1,,203,,,,,,,,0,,,,,,117,,
204,中型能量药水,等级要求:41级。持续10秒，+78能量/2秒。,★  [a]用途：[/]持续10秒，[255:0:255]+78能量/2秒[/]#★  [a]获取：[/]材料药品商,药品,80022,80022,80022,4,2,1,0,0,41,0,0,,,,,73,162,0,,,,1000,1,-1,0,,-1,,204,,,,,,,,0,,,,,,117,,
205,大型能量药水,等级要求:51级。持续10秒，+95能量/2秒。,★  [a]用途：[/]持续10秒，[255:0:255]+95能量/2秒[/]#★  [a]获取：[/]材料药品商,药品,80023,80023,80023,5,2,1,0,0,51,0,0,,,,,98,486,0,,,,1000,1,-1,0,,-1,,205,,,,,,,,0,,,,,,117,,
206,[特殊]微型能量药水,瞬间回复250点能量。,★  [a]用途：[/][255:0:255]瞬间+250能量[/]#★  [a]说明：[/][255:0:255]冷却时间20秒[/],药品,53163,53163,53163,2,2,1,6000,0,0,0,0,,,,,300,300,0,3,,,1000,1,-1,1,,-1,,206,,,,,,,,0,,,,,,117,,
207,[特殊]小型能量药水,等级要求:26级。瞬间回复400点能量。,★  [a]用途：[/][255:0:255]瞬间+400能量[/]#★  [a]获取：[/]商城出售#★  [a]说明：[/][255:0:255]冷却时间20秒[/],药品,53164,53164,53164,2,2,1,6000,0,26,0,0,,,,,540,540,0,6,,,1000,1,-1,1,,-1,,207,,,,,,,,0,,,,,,117,,
