1,名字,描述,物品详细描述(127汉字),物品类型描述,物品栏图片,地上图片,缩小图片,等级,物品分类,物品子类,lBourseClass,生物最多拥有个数,需求爵位,需求状态,死亡掉落几率,获取绑定,装备绑定,销毁标志,出售标志,买入价格,购物卷买入,买入士气,点卷购买,卖出价格,卖出士气,叠放数量,使用消失,流通次数,物品转移记录,存在时间的类型,存在时间,切换地图是否消失,物品冷却ID,物品排序,lUseType_LUA,szGoods_LUA[64],死亡销毁,下线掉落,切换地图掉落,能否放仓库,交易所分类查询,BcmPickupMessage,long lDropCallLua,long lBaseParam_1,long lBaseParam_2,long lBaseParam_3,参数1,参数2,参数3,参数4,luA函数名
0:无效ID,15个汉字,31个汉字,127个汉字,最多7个汉字,lResID,lResID,lResID,lLevel,1:装备，2:药品，3:原料，11:请帖，12：时装续时,,"1000 单手匕首    3002 披风 
1001 单手剑      3003 眼部
1002 双手剑      3004 嘴部
1003 双手斧      4000 金币
1004 双手枪      4001 点卷
1005 双手魔法书  5000 矿物
2000 头盔        5001 木材
2001 衣服        5002 药材
2002 腰带        5003 食材
2003 手套        5004 猎材
2004 护腿        5005 其它
2005 鞋子        6000 药品
2006 盾牌        6001 施法材料
3000 项链        7000 生产工具
3001 戒指        8000 图纸   8001 配方  抄卷： 5030
提炼石：5031",0:无数个,爵位不够无法使用,0:没有要求，1:战斗，2:非战斗,0~100，0:不掉落,1:获得后不允许交易等,1:装备后不允许交易等,1:不可以销毁,1:不可以出售,从NPC处买入,从NPC处买入消耗的新手购物卷,从NPC处买入,从NPC处买入消耗的点卷,向NPC处卖出的价格,向NPC处卖出消耗的士气,,1:使用后消失,0~30。-1:无次数限制,为1表示开启物品档案，会记录物品的转移情况,0:游戏时间，1:现实时间,游戏时间单位:秒，现实时间单位:天，-1:无时间限制,为1表示切换地图物品会消失,物品的冷却ID，注意：所有的冷却ID要唯一,物品的排序等级，0级优先级最低，排在最后面,LUA使用类型0：未知，1：直接使用，2：选择目标使用，3：选择地面使用，4：选择战争地图位置使用,物品的LUA函数名字,玩家死亡物品物品有概率销毁（概率100为100%）,玩家下线物品栏的物品掉落(1表示一定掉落),玩家切换地图物品栏的物品掉落(1表示一定掉落),为1表示不能放仓库,交易所查询物品属性定义,BOSS掉落后的拾取广播(默认0，不广播;1为需要广播),为1表示此物品被丢弃时，会回调lua函数：OnDropGoods(long lActorID， long lGoodsID， long lContainerID， long lPos， long luidHigh， long luidLow),保留ID,保留ID,保留ID,,,,,LUA函数的名字，最多支持63个字节
1,金属矿场建设图纸,金属矿场建设图纸,★  [a]用途：[/]不详#★  [a]获取：[/]无产出#★  [a]说明：[/]不详,生产建设图纸,104280,104280,104280,0,2,2,0,0,0,0,0,0,0,,0,667,667,0,200,,,1000,1,-1,0,0,0,0,,,,,,,,,0,,,,,,10001,1,26,1,
2,水晶矿场建设图纸,水晶矿场建设图纸,★  [a]用途：[/]不详#★  [a]获取：[/]无产出#★  [a]说明：[/]不详,生产建设图纸,104277,104277,104277,0,2,2,0,0,0,0,0,0,0,,0,667,667,0,200,,,1000,1,-1,0,0,0,0,,,,,,,,,0,,,,,,10001,1,26,2,
3,伐木场建设图纸,伐木场建设图纸,★  [a]用途：[/]不详#★  [a]获取：[/]无产出#★  [a]说明：[/]不详,生产建设图纸,104275,104275,104275,0,2,2,0,0,0,0,0,0,0,,0,667,667,0,200,,,1000,1,-1,0,0,0,0,,,,,,,,,0,,,,,,10001,1,27,3,
4,药场建设图纸,药场建设图纸,★  [a]用途：[/]不详#★  [a]获取：[/]无产出#★  [a]说明：[/]不详,生产建设图纸,104279,104279,104279,0,2,2,0,0,0,0,0,0,0,,0,667,667,0,200,,,1000,1,-1,0,0,0,0,,,,,,,,,0,,,,,,10001,1,27,4,
5,牧场建设图纸,牧场建设图纸,★  [a]用途：[/]不详#★  [a]获取：[/]无产出#★  [a]说明：[/]不详,生产建设图纸,104278,104278,104278,0,2,2,0,0,0,0,0,0,0,,0,667,667,0,200,,,1000,1,-1,0,0,0,0,,,,,,,,,0,,,,,,10001,1,28,5,
6,农场建设图纸,农场建设图纸,★  [a]用途：[/]不详#★  [a]获取：[/]无产出#★  [a]说明：[/]不详,生产建设图纸,104276,104276,104276,0,2,2,0,0,0,0,0,0,0,,0,667,667,0,200,,,1000,1,-1,0,0,0,0,,,,,,,,,0,,,,,,10001,1,27,6,
11,技能学习图纸,技能学习图纸,★  [a]用途：[/]不详#★  [a]获取：[/]无产出#★  [a]说明：[/]不详,技能学习图纸,57018,57018,50003,1,2,4,0,0,0,0,0,0,0,,0,200,200,0,,,,1,1,-1,0,0,0,0,,,,,,,,,0,,,,,,4,0,0,0,WorkSkill_StudySkillByGoods
21,一档修理棒,可以修理一档所有装备,★  [a]用途：[/]右键点击使用，选择要修理的装备。#★  [a]获取：[/]商城出售。#★  [a]说明：[/]可以修理一档所有装备。,修理工具,53169,53169,53169,2,2,8,0,0,0,0,0,0,0,,0,1000,1000,0,10,,,1000,1,-1,1,0,0,0,,,,,,,,,0,,,,,,0,0,0,0,
22,二档修理棒,可以修理二档以下(包括二档)所有装备,★  [a]用途：[/]右键点击使用，选择要修理的装备。#★  [a]获取：[/]商城出售。#★  [a]说明：[/]可以修理二档以下(包括二档)所有装备。,修理工具,53169,53169,53169,2,2,8,5005,0,0,0,0,0,0,,0,30000,30000,0,10,,,1000,1,-1,1,0,0,0,,,,,,,,,0,,,,,,0,0,0,0,
